frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,-0.00894134,0.00692298,0.00225068,0.999833,0.00573088,-0.01735,-0.005347,0.999742,0.0220917,0.0174721,-0.0219953,0.999605
1,2,-0.0146239,0.00681351,-0.00390644,0.999271,0.00277643,-0.0380865,-0.000286612,0.997871,0.065223,0.0381865,-0.0651645,0.997144
2,3,0.00710033,-0.0046173,0.0160421,0.999425,-0.00280886,-0.0338035,0.00493913,0.997995,0.0631017,0.0335584,-0.0632324,0.997434
3,4,0,0,0,1,0,0,0,1,0,0,0,1
4,5,0.00138558,-0.00199538,0.0136576,0.999746,-0.00552633,-0.0218529,0.00652079,0.998934,0.0457006,0.0215771,-0.0458315,0.998716
5,6,0.00576964,0.000374389,0.0117164,0.999733,-0.00324295,-0.022876,0.00410922,0.999272,0.0379232,0.0227364,-0.0380071,0.999019
6,7,0.00317821,0.00119979,0.011617,0.999825,-0.00363746,-0.0183741,0.00437089,0.999189,0.0400353,0.0182135,-0.0401086,0.999029
7,8,0.0027485,-0.00496791,0.0110835,0.999886,0.000383669,-0.0150714,0.00010283,0.999479,0.0322656,0.0150759,-0.0322635,0.999366
8,9,-0.000844084,0.0072791,0.00884892,0.999912,-0.00168856,-0.013187,0.00207517,0.999567,0.0293586,0.0131317,-0.0293833,0.999482
9,10,0.00151307,-0.0083768,0.0109978,0.999881,0.000601544,-0.0154361,-4.63688e-05,0.999354,0.0359412,0.0154478,-0.0359362,0.999235
10,11,-0.000623921,0.00159323,0.00626686,0.999956,0.00284211,-0.00895062,-0.00270468,0.999879,0.015329,0.0089931,-0.0153041,0.999842
11,12,0.000454182,0.0013749,0.00629739,0.999943,-0.00243064,-0.0103728,0.00266908,0.999731,0.0230351,0.010314,-0.0230615,0.999681
12,13,0.0076046,-0.00590621,0.0147729,0.999874,0.00295098,-0.015568,-0.0026935,0.99986,0.0165341,0.0156146,-0.0164901,0.999742
13,14,0.00146821,-6.22874e-05,0.00776532,0.999988,0.000247349,-0.00495815,-0.000254941,0.999999,-0.0015307,0.00495777,0.00153194,0.999987
14,15,0.00932199,-0.0144162,0.00686169,0.999962,0.00369874,-0.00787971,-0.00385446,0.999796,-0.0198394,0.00780472,0.0198691,0.999772
15,16,0.00205452,-0.00501531,-0.00227468,0.999981,0.00506827,0.00343925,-0.00500205,0.999807,-0.0189973,-0.00353487,0.0189798,0.999814
16,17,-0.000330474,-0.00464266,-0.00308675,0.99994,0.00881073,0.00656114,-0.00867202,0.999744,-0.0208774,-0.00674341,0.0208193,0.999761
17,18,-0.00256275,-0.00686391,-0.00377897,0.999975,0.00503892,0.00490191,-0.00494344,0.999802,-0.0192996,-0.00499818,0.0192749,0.999802
18,19,-1.09919e-05,-0.00405927,-0.00392666,0.999994,0.00355308,-0.000525485,-0.00356355,0.999763,-0.0214784,0.000449046,0.0214801,0.999769
19,20,-0.00129102,-0.00389734,-0.00299093,0.999994,0.00348961,-0.000396977,-0.00349756,0.999748,-0.0221658,0.000319527,0.022167,0.999754
20,21,-0.00233517,-0.00234455,-0.00363381,0.999991,0.00330406,0.00276743,-0.00324462,0.99977,-0.0212151,-0.00283689,0.0212059,0.999771
21,22,0.00130444,-0.00432434,-0.00243059,0.999999,-0.000840978,0.00124095,0.000865477,0.999802,-0.0198758,-0.00122399,0.0198768,0.999802
22,23,-0.000345333,-0.00574857,-0.0015376,1,-0.000555284,-0.000179795,0.000551469,0.999788,-0.0205622,0.000191175,0.0205621,0.999789
23,24,0.00412536,-0.00948163,-0.000699741,0.999994,-0.00240018,-0.00254362,0.00234214,0.999742,-0.0225794,0.00259716,0.0225733,0.999742
24,25,0.00131163,-0.00344009,-0.00338174,0.999996,-0.00268695,0.000315358,0.00269492,0.999581,-0.0288276,-0.000237767,0.0288284,0.999584
25,26,0.0184636,-0.0191276,-0.00282162,0.999917,-0.00929822,0.00896288,0.00978561,0.998385,-0.0559624,-0.00842806,0.0560454,0.998393
26,27,-0.00167786,0.00855186,-0.00278274,0.999797,0.00484588,0.0195727,-0.00418152,0.999418,-0.0338427,-0.0197253,0.033754,0.999235
27,28,0.0058901,-0.00283302,-0.00662051,0.999684,0.00484575,0.0246736,-0.00392101,0.999293,-0.0373906,-0.0248374,0.037282,0.998996
28,29,0.00465496,0.00508305,-0.00155748,0.999894,0.00271256,0.014293,-0.00238405,0.999734,-0.022951,-0.0143514,0.0229145,0.999634
29,30,0.00523725,-0.000632333,-0.00184159,0.99981,0.00126533,0.0194419,-0.001062,0.999945,-0.0104652,-0.0194541,0.0104425,0.999756
30,31,0.00784258,-0.00382163,0.00335915,0.999672,-0.00618989,0.0248512,0.00653006,0.999886,-0.0136306,-0.024764,0.0137884,0.999598
31,32,0.00643267,0.00540349,-0.00425989,0.999587,-0.00868852,0.0274002,0.00927107,0.999732,-0.0212058,-0.0272086,0.0214511,0.9994
32,33,0.0087609,0.00755636,-0.0120522,0.999267,-0.0180982,0.0337266,0.0183696,0.999801,-0.00775213,-0.0335796,0.00836599,0.999401
33,34,0.00465554,-0.00572429,-0.000115187,0.998906,-0.0259363,0.0389166,0.0254962,0.999606,0.0117622,-0.0392063,-0.0107571,0.999173
34,35,0.0152733,0.000417631,-0.00887108,0.995254,-0.0594201,0.0770602,0.0586882,0.998207,0.0117293,-0.077619,-0.00715111,0.996957
35,36,0.00512189,-0.00347877,0.000102377,0.998832,-0.0291568,0.0385268,0.0285098,0.999445,0.0172383,-0.039008,-0.0161198,0.999109
36,37,0.0131483,0.00097262,0.00175213,0.998867,-0.0318241,0.0353874,0.0313921,0.999426,0.0126969,-0.0357712,-0.0115716,0.999293
37,38,0.00564579,-0.00251235,0.00323937,0.998618,-0.0330166,0.0409008,0.0324348,0.999364,0.0148076,-0.0413637,-0.0134605,0.999053
38,39,0.00596268,0.00136424,0.000983373,0.998908,-0.0336805,0.0323662,0.033429,0.999407,0.0082808,-0.0326259,-0.0071898,0.999442
39,40,0.00754653,0.00441632,-0.00125688,0.999121,-0.0351166,0.0228763,0.0348411,0.999317,0.0123333,-0.0232937,-0.0115254,0.999662
40,41,0.01305,-0.00209456,0.0033125,0.999447,-0.0294094,0.0154957,0.029065,0.999335,0.0219989,-0.0161323,-0.0215364,0.999638
41,42,0.02051,0.00149099,0.00260495,0.99939,-0.0277167,0.0212471,0.0273835,0.9995,0.0158185,-0.0216749,-0.015227,0.999649
42,43,0.01795,0.00491872,0.000726603,0.998828,-0.0254836,0.0411413,0.0246273,0.999472,0.0211882,-0.0416595,-0.0201502,0.998929
43,44,0.0137771,0.000530284,0.00579923,0.99872,-0.0185531,0.047051,0.0173572,0.999519,0.0256993,-0.0475051,-0.0248498,0.998562
44,45,0.0160452,0.00327839,0.00550181,0.998807,-0.0109868,0.0475757,0.0101531,0.999791,0.0177288,-0.0477606,-0.0172246,0.99871
45,46,0.0102542,0.00140619,0.00309586,0.997996,-0.0103096,0.0624293,0.00893673,0.999713,0.0222299,-0.0626406,-0.0216274,0.997802
46,47,0.0139199,0.000836571,0.00295394,0.998106,-0.0103232,0.0606447,0.00917917,0.999775,0.0191129,-0.0608284,-0.01852,0.997976
47,48,0.00805883,0.00334618,0.00728322,0.997944,-0.00616623,0.0637914,0.0053839,0.999908,0.0124285,-0.0638622,-0.0120595,0.997886
48,49,0.0286644,-0.00964273,0.00369012,0.992007,-0.010016,0.125783,0.00550649,0.999331,0.0361482,-0.12606,-0.0351666,0.991399
49,50,0.00620651,-0.00193496,0.00440716,0.997925,-0.00383,0.0642765,0.00380408,0.999993,0.000525688,-0.0642781,-0.000280084,0.997932
50,51,0.00691367,0.00204265,-0.00431716,0.99839,-0.0025961,0.0566711,0.00268795,0.999995,-0.00154468,-0.0566669,0.00169453,0.998392
51,52,0.0102344,-0.00473695,0.0100622,0.998832,-0.00712554,0.0477892,0.00705829,0.999974,0.00157574,-0.0477991,-0.00123659,0.998856
52,53,0,0,0,1,0,0,0,1,0,0,0,1
53,54,0.00635108,-0.00785775,-0.00277138,0.999707,-0.00851426,0.022676,0.00884421,0.999856,-0.0144902,-0.0225493,0.0146865,0.999638
54,55,0.00890985,-0.0093185,-0.00242971,0.999903,-0.00735799,0.0118354,0.00757991,0.999794,-0.0188162,-0.0116945,0.0189041,0.999753
55,56,0.015155,-0.00744104,-0.00166985,0.999953,-0.00594246,0.00760499,0.00613413,0.999658,-0.0254324,-0.00745125,0.0254778,0.999648
56,57,0.0127931,-0.00583273,-0.00305529,0.999904,-0.0059496,0.012537,0.00626512,0.999661,-0.0252798,-0.0123824,0.0253559,0.999602
57,58,0.0118252,-0.00896513,-0.00384231,0.99992,-0.00395809,0.0119949,0.00426411,0.999663,-0.0255956,-0.0118896,0.0256447,0.9996
58,59,0.0134386,-0.0104792,-0.00425735,0.999971,-0.00224453,0.00730739,0.00244669,0.999611,-0.0277753,-0.00724221,0.0277923,0.999587
59,60,0.0135085,0.000214225,-0.00674023,0.999965,0.00658643,0.0052092,-0.00638296,0.999251,-0.0381574,-0.00545663,0.0381228,0.999258
60,61,0.0152801,-0.00479891,-0.00388504,0.99986,0.016207,0.00407908,-0.0161166,0.999643,-0.0212999,-0.00442284,0.0212312,0.999765
61,62,0.0160149,-0.0132491,-0.00620574,0.999864,0.0165018,-0.000361741,-0.0165057,0.999563,-0.0245058,-4.28063e-05,0.0245084,0.9997
62,63,0.0148969,-0.0072599,-0.00709611,0.999798,0.0189877,-0.00653838,-0.0191888,0.999297,-0.0322068,0.00592225,0.0323258,0.99946
63,64,0.0137398,-0.00202843,-0.00826361,0.999328,0.0324871,-0.0169496,-0.0329805,0.999015,-0.0296934,0.0159682,0.0302325,0.999415
64,65,0.0204718,-0.00728258,-0.00702755,0.998973,0.0357839,-0.0277981,-0.0362967,0.999176,-0.0181685,0.027125,0.0191588,0.999448
65,66,0.0215499,-0.00727008,-0.00605538,0.99868,0.0448627,-0.0249969,-0.0453498,0.998785,-0.0192718,0.024102,0.02038,0.999502
66,67,0.0208477,-0.00998269,-0.00598782,0.998477,0.0504247,-0.0223892,-0.0508736,0.998506,-0.0199578,0.0213494,0.0210664,0.99955
67,68,0.0223711,-0.00986066,-0.00521843,0.998768,0.0440942,-0.0227698,-0.0447378,0.99859,-0.0285731,0.0214778,0.0295565,0.999332
68,69,0.0210658,-0.00747978,-0.00694656,0.999408,0.0268909,-0.0214692,-0.0275776,0.999096,-0.0323547,0.0205797,0.0329276,0.999246
69,70,0.0256817,0.00888622,-0.00461317,0.999225,-0.0175523,-0.0352289,0.0164439,0.999368,-0.0315092,0.0357597,0.0309055,0.998882
70,71,0.022169,-0.0030929,-0.00436299,0.999384,0.0188059,-0.0296222,-0.0197323,0.999315,-0.0312978,0.0290133,0.0318631,0.999071
71,72,0.0268011,-0.0159767,-0.00320002,0.99947,0.019383,-0.026138,-0.0199222,0.999591,-0.020527,0.0257294,0.0210368,0.999448
72,73,0.025248,0.00259559,-0.00584904,0.999937,0.0012383,-0.0111303,-0.00157461,0.999541,-0.0302575,0.0110878,0.0302731,0.99948
73,74,0.0244521,-0.00144512,-0.005746,0.999989,-0.0046372,-0.000769111,0.00463514,0.999986,-0.00266515,0.000781459,0.00266155,0.999996
74,75,0.0219843,-0.00167588,-0.00699896,0.999974,-0.00483807,-0.00540284,0.00483651,0.999988,-0.000301001,0.00540423,0.000274862,0.999985
75,76,0.0249585,0.000599775,-0.00114131,0.9999,-0.00143718,-0.0140586,0.00146907,0.999996,0.00225843,0.0140553,-0.00227885,0.999899
76,77,0.0194742,0.00546267,-0.00435848,0.999933,-0.00802135,-0.00832993,0.008034,0.999967,0.00148549,0.00831773,-0.00155232,0.999964
77,78,0.019676,0.000797752,-0.00328966,0.999835,-0.00504826,-0.0174778,0.00534005,0.999846,0.0166888,0.0173908,-0.0167794,0.999708
78,79,0.0431478,-0.00109269,-0.00302695,0.999365,0.0105154,-0.0340411,-0.0101538,0.99989,0.0107761,0.0341507,-0.0104236,0.999362
79,80,0.0159244,0.00313956,-0.00362101,0.999875,0.0136287,-0.00796624,-0.013664,0.999897,-0.00438727,0.00790563,0.00449557,0.999959
80,81,0.016244,0.00228723,-0.00296666,0.999709,0.0214159,-0.0110834,-0.021478,0.999754,-0.00551011,0.0109627,0.00574656,0.999923
81,82,0.0173044,0.00133876,-0.00421645,0.999687,0.0231124,-0.00962381,-0.0231829,0.999705,-0.00728698,0.00945255,0.0075078,0.999927
82,83,0.0125292,0.00143581,-0.00515568,0.999824,0.01659,-0.0087087,-0.0166402,0.999845,-0.0057238,0.00861239,0.0058677,0.999946
83,84,0.0103095,0.00410404,-0.00484892,0.999733,0.0160574,-0.0165977,-0.0162147,0.999825,-0.00938149,0.0164441,0.00964811,0.999818
84,85,0.0160412,0.00956435,-0.004137,0.999465,0.0174185,-0.0276937,-0.0174567,0.999847,-0.00114035,0.0276696,0.00162318,0.999616
85,86,0.0164122,0.00575634,-0.000747992,0.999487,0.0135777,-0.0290208,-0.0132403,0.999843,0.0117892,0.0291763,-0.0113989,0.999509
86,87,0.0135781,0.00782736,-0.00219977,0.999654,0.0219133,-0.0145786,-0.0219415,0.999758,-0.00177325,0.0145362,0.00209251,0.999892
87,88,0.0262105,-0.00263656,-0.00832308,0.998747,0.0499531,-0.00309818,-0.0497997,0.998037,0.0379824,0.00498944,-0.0377805,0.999274
88,89,0.0202748,0.00433334,-0.00288951,0.999709,0.0228114,-0.00790884,-0.0227816,0.999733,0.00384734,0.00799449,-0.00366604,0.999961
89,90,0.0218733,0.00620247,-0.000986815,0.999589,0.0268074,-0.0101409,-0.0268551,0.999629,-0.00460612,0.0100137,0.00487657,0.999938
90,91,0.0228641,0.00868704,0.00196334,0.999529,0.0302403,-0.00517108,-0.030267,0.999529,-0.00515302,0.00501281,0.00530711,0.999973
91,92,0.0241589,0.00564345,0.00370281,0.999664,0.0256552,-0.00361354,-0.0256668,0.999665,-0.00321552,0.00352984,0.00330719,0.999988
92,93,0.0239905,0.0127867,0.00709976,0.999599,0.0281379,-0.00309343,-0.0281704,0.999542,-0.0110245,0.00278181,0.0111072,0.999934
93,94,0.0237069,0.00993801,0.00767589,0.99975,0.0223134,-0.00118983,-0.0223061,0.999734,0.00585946,0.00132026,-0.00583146,0.999982
94,95,0.0226519,0.00652493,0.00793492,0.999925,0.0118373,-0.0029848,-0.0118186,0.999911,0.00620748,0.00305802,-0.00617174,0.999976
95,96,0.0180248,0.0119506,0.00797086,0.99996,0.0089435,-7.48287e-07,-0.00894339,0.999948,0.00492122,4.47612e-05,-0.00492101,0.999988
