frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.0128287,-0.000723045,-0.000802359,0.999843,-0.0173114,0.00370188,0.017272,0.999797,0.0104141,-0.00388141,-0.0103485,0.999939
1,2,0.00580809,0.00467071,-0.00551137,0.999845,-0.0118385,0.0130393,0.0118317,0.99993,0.000596946,-0.0130454,-0.000442577,0.999915
2,3,0.00840773,0.00279085,-0.0042136,0.999793,-0.0154409,0.0132364,0.0154005,0.999876,0.00314207,-0.0132833,-0.00293757,0.999907
3,4,0.00266857,0.00463713,-0.00774453,0.999629,-0.0169597,0.0213271,0.0169826,0.999855,-0.000893441,-0.0213089,0.0012553,0.999772
4,5,-0.00191736,0.00988258,-0.00937862,0.999817,-0.011313,0.0154385,0.0112769,0.999933,0.00242918,-0.015465,-0.00225464,0.999878
5,6,0.017132,0.00250524,-0.00105638,0.999956,-0.00906858,0.00258752,0.00903561,0.999881,0.0124826,-0.00270041,-0.0124586,0.999919
6,7,0.00961577,-0.006351,-0.00285699,0.999644,-0.0180052,0.0196803,0.0178728,0.999817,0.00688433,-0.0198007,-0.00653013,0.999783
7,8,0.009635,0.00871065,-0.00848675,0.999603,-0.0175088,0.0220905,0.0176771,0.999816,-0.00744625,-0.0219561,0.00783379,0.999728
8,9,0.0155945,0.00136922,-0.00313118,0.999353,-0.0200051,0.0298972,0.0199464,0.999798,0.00226247,-0.0299364,-0.00166466,0.99955
9,10,-0.00217339,0.00392474,-0.0105961,0.998719,-0.0224289,0.0453612,0.0225419,0.999744,-0.00198004,-0.0453052,0.00300003,0.998969
10,11,0.0023449,0.00618216,-0.00714229,0.999321,-0.0220246,0.0295394,0.0218821,0.999747,0.00513789,-0.0296451,-0.00448802,0.99955
11,12,0.00938629,0.00245165,-0.00222934,0.99961,-0.0152606,0.0233802,0.0150415,0.999842,0.0095156,-0.0235217,-0.00916022,0.999681
12,13,0.00285497,-0.000793449,-0.00424727,0.999559,-0.0135927,0.0263917,0.0134042,0.999883,0.00730625,-0.0264879,-0.00694927,0.999625
13,14,0.00649594,0.00580997,-0.00544636,0.999649,-0.0141337,0.0224115,0.0140594,0.999895,0.00347013,-0.0224582,-0.00315382,0.999743
14,15,0.00225185,-0.00197226,-0.00388786,0.999514,-0.017957,0.0254935,0.0177868,0.999818,0.00688616,-0.0256125,-0.00642936,0.999651
15,16,0.00396086,0.00602449,-0.00741223,0.999714,-0.014013,0.0194029,0.0140309,0.999901,-0.00078829,-0.0193899,0.0010603,0.999811
16,17,0.00384756,0.00440813,-0.00545286,0.999711,-0.0126069,0.0204764,0.0125139,0.999911,0.004663,-0.0205333,-0.00440541,0.999779
17,18,-0.00245714,0.00387423,-0.00626972,0.999758,-0.0126902,0.0179582,0.0125986,0.999907,0.00520326,-0.0180226,-0.00497575,0.999825
18,19,0.00676849,0.00584196,-0.00538442,0.999924,-0.00993436,0.00730675,0.00988503,0.999928,0.00675715,-0.00737336,-0.00668441,0.99995
19,20,0.00860541,-0.00121338,-0.00488276,0.999924,-0.00627638,0.0106433,0.00614996,0.999911,0.0118692,-0.0107169,-0.0118028,0.999873
20,21,0.00755873,0.00276148,-0.00611546,0.999892,-0.00126054,0.0146477,0.00118222,0.999985,0.00535414,-0.0146542,-0.00533625,0.999878
21,22,0.00640843,0.00333287,-0.00596944,0.99975,-0.00139356,0.0223291,0.00123544,0.999974,0.00709362,-0.0223384,-0.00706426,0.999726
22,23,-0.00148207,0.000137223,-0.00606684,0.999657,-0.00125044,0.026163,0.00102399,0.999962,0.00866697,-0.0261728,-0.00863721,0.99962
23,24,0.00474395,0.00548873,-0.00848672,0.999841,0.00102142,0.0178053,-0.00113666,0.999978,0.00646343,-0.0177983,-0.00648264,0.999821
24,25,0.00342091,-0.000893629,-0.00539729,0.999646,-0.00686225,0.0256988,0.00643803,0.999842,0.016554,-0.0258083,-0.0163827,0.999533
25,26,-0.00549857,-0.00832283,-0.00478579,0.999496,-0.0142294,0.0283934,0.0138611,0.999818,0.013124,-0.028575,-0.0127238,0.999511
26,27,0.00236266,-0.00124492,-0.00708411,0.999675,-0.0164036,0.0195271,0.0163157,0.999856,0.0046503,-0.0196006,-0.00433019,0.999799
27,28,0.000625531,-0.00221214,-0.00631389,0.999642,-0.0162013,0.0213017,0.0161485,0.999866,0.00265082,-0.0213418,-0.00230588,0.99977
28,29,-0.000564084,-0.0042716,-0.00655192,0.999653,-0.0179128,0.0193367,0.0178868,0.999839,0.00151928,-0.0193608,-0.00117288,0.999812
29,30,0.000935059,-0.00333724,-0.00658975,0.999719,-0.0172864,0.0162237,0.0173201,0.999848,-0.00193958,-0.0161877,0.00222003,0.999867
30,31,0.00163392,-0.00301982,-0.00582405,0.999826,-0.0139693,0.0123608,0.0140104,0.999897,-0.0032491,-0.0123141,0.00342171,0.999918
31,32,0.00888363,-0.000765441,-0.00476106,0.99986,-0.0127562,0.0108194,0.0128445,0.999884,-0.00812967,-0.0107144,0.0082675,0.999908
32,33,0.00394868,-0.0025365,-0.0054352,0.999764,-0.00900587,0.0197882,0.00915537,0.99993,-0.00747775,-0.0197195,0.00765715,0.999776
33,34,0.00311013,0.00174297,-0.00498988,0.999753,-0.00627141,0.0213416,0.00650227,0.999921,-0.0107656,-0.0212724,0.0109017,0.999714
34,35,0.00415381,-0.000386745,-0.00371212,0.99961,-0.00791125,0.0267668,0.00817837,0.999918,-0.00988478,-0.0266864,0.0100998,0.999593
35,36,0.00205015,-0.000479817,-0.00466497,0.999316,-0.0082788,0.036043,0.00864607,0.999912,-0.0100459,-0.0359567,0.0103507,0.9993
36,37,0.0029585,-0.00407646,-0.00238589,0.999223,-0.0067486,0.0388314,0.00710282,0.999934,-0.0089913,-0.0387681,0.00926013,0.999205
37,38,-0.00290339,0.000827508,-0.00435552,0.999407,-0.000517967,0.034435,0.00103595,0.999887,-0.0150263,-0.0344233,0.015053,0.999294
38,39,-0.00546857,0.0014828,-0.00321736,0.999596,-0.000171703,0.02843,0.000450634,0.999952,-0.00980504,-0.028427,0.00981389,0.999548
39,40,-0.00585306,-0.00111112,-0.0032895,0.999745,-0.00928734,0.0205744,0.00944532,0.999927,-0.0075947,-0.0205023,0.00778709,0.999759
40,41,-0.00510913,0.00687245,-0.00280635,0.99973,-0.0166883,0.0161986,0.0168404,0.999815,-0.00929853,-0.0160404,0.0095688,0.999826
41,42,-0.00251456,-0.00165116,5.57249e-05,0.999551,-0.0268467,0.0132771,0.0268145,0.999637,0.00259835,-0.013342,-0.00224116,0.999908
42,43,-0.00249632,0.000327045,-0.000296684,0.999566,-0.0280237,0.00910675,0.0280491,0.999603,-0.0026678,-0.00902837,0.00292208,0.999955
43,44,-0.00224055,0.000587446,0.000785456,0.999669,-0.0251965,0.00526752,0.0251969,0.999683,-2.43988e-05,-0.00526523,0.000157116,0.999986
44,45,-0.00519312,0.00758285,-0.000240543,0.999803,-0.0191087,0.00543235,0.0191155,0.999817,-0.00121178,-0.0054082,0.00131538,0.999985
45,46,-0.00508917,0.00352132,0.000642457,0.999852,-0.0166821,0.00422266,0.0165979,0.999677,0.0192441,-0.00454233,-0.0191712,0.999806
46,47,0.00445903,-0.0124241,0.00456256,0.999898,-0.0142825,0.000278386,0.0142677,0.999444,0.0301423,-0.000708739,-0.0301352,0.999546
