frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.000537555,-0.00251961,0.0010729,0.999994,-0.0026171,0.00205606,0.00262333,0.999992,-0.00303046,-0.00204811,0.00303583,0.999993
1,2,-0.00186355,-0.00234634,0.00279557,0.999979,-0.00264351,0.00592676,0.00266454,0.99999,-0.00354378,-0.00591734,0.00355949,0.999976
2,3,-0.0044774,-0.00178174,0.00314455,0.999982,-0.00529001,0.00282668,0.0053016,0.999978,-0.00410856,-0.00280488,0.00412347,0.999988
3,4,-0.00534283,-0.000431732,0.00125754,0.999983,-0.0054998,-0.00167043,0.00549335,0.999978,-0.0038439,0.00169153,0.00383466,0.999991
4,5,-0.00192079,0.00104851,0.00237943,0.99997,-0.00433303,-0.00638261,0.00432198,0.999989,-0.00174502,0.0063901,0.00171738,0.999978
5,6,-0.00206996,-3.57312e-05,0.00226913,0.999982,-0.00366068,-0.00483009,0.00366503,0.999993,0.000891906,0.00482679,-0.000909592,0.999988
6,7,-0.00240524,0.00160701,0.00314108,0.999991,-0.00361827,-0.00205436,0.00362162,0.999992,0.00162888,0.00204845,-0.0016363,0.999997
7,8,-0.00288082,-0.000974685,0.00371022,0.999996,-0.00227135,-0.00162156,0.00227815,0.999989,0.00420237,0.00161199,-0.00420605,0.99999
8,9,-0.00373198,-0.00276233,0.00317099,0.999997,-0.00132419,0.00209684,0.00131718,0.999994,0.00334076,-0.00210125,-0.00333799,0.999992
9,10,-0.00617952,0.000166599,0.00327854,0.999985,0.000537354,0.0054786,-0.000532316,0.999999,-0.000921013,-0.00547909,0.000918082,0.999985
10,11,-0.00130604,0.00192162,0.00124086,0.999998,0.00102781,0.00182693,-0.00102716,0.999999,-0.000357674,-0.0018273,0.000355797,0.999998
11,12,-0.00664128,0.000952991,0.00325338,0.999991,0.00115955,0.00400948,-0.0011752,0.999992,0.00390183,-0.00400492,-0.00390651,0.999984
