frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.0011575,-0.000325597,-0.00116689,0.999999,-0.00060007,-0.000970173,0.000600242,1,0.000177637,0.000970066,-0.000178219,1
1,2,-0.00164825,-0.000906059,0.00147696,0.999999,0.000270693,0.00113407,-0.000271268,1,0.000507415,-0.00113394,-0.000507722,0.999999
2,3,0.000379493,0.00104015,-0.000532595,1,-0.000194078,-0.000162891,0.000193984,1,-0.000580767,0.000163004,0.000580735,1
3,4,0.000816275,-0.000430644,-0.00127382,1,-4.97664e-05,-0.000894245,5.02213e-05,1,0.000508677,0.000894219,-0.000508722,0.999999
4,5,-0.000942594,4.78494e-05,0.00166179,1,3.89722e-05,0.000950528,-3.89272e-05,1,-4.73346e-05,-0.00095053,4.72975e-05,1
5,6,0.000748317,0.00133664,-0.000224865,1,-0.000602522,-0.000704849,0.000601855,0.999999,-0.000946418,0.000705419,0.000945993,0.999999
6,7,-0.000781719,0.000517631,0.000306648,1,-7.49682e-05,-0.000322499,7.51204e-05,1,0.000472,0.000322463,-0.000472024,1
7,8,0.000733983,0.00031238,-0.00179574,0.999999,-0.000384137,-0.00154245,0.000383076,1,-0.000687942,0.00154272,0.00068735,0.999999
8,9,-0.0010709,-0.00112338,0.00036302,1,0.000127524,-1.62336e-05,-0.000127501,0.999999,0.00141213,1.64136e-05,-0.00141213,0.999999
9,10,0.00502899,0.00249575,-0.00196807,0.999993,1.28628e-05,-0.00378692,-2.08903e-05,0.999998,-0.00211976,0.00378689,0.00211983,0.999991
10,11,0.000938442,0.0004428,-0.00356136,0.999997,0.000569359,-0.00216621,-0.000570318,1,-0.000441921,0.00216596,0.000443155,0.999998
11,12,-0.00252197,-0.00233298,-4.44882e-05,0.999999,-0.000242922,0.00107397,0.00024066,0.999998,0.00210605,-0.00107448,-0.00210579,0.999997
12,13,-0.00118795,0.00324218,0.00132812,0.999998,-0.00180821,-0.000492653,0.00180724,0.999996,-0.00197062,0.000496214,0.00196972,0.999998
