frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,-0.00102493,0.000304711,0.00025513,1,7.50267e-05,-0.000369623,-7.54718e-05,0.999999,-0.00120423,0.000369532,0.00120426,0.999999
1,2,0.00203276,0.00228178,-0.000866516,1,-0.000481494,3.24677e-05,0.000481493,1,4.01397e-05,-3.24871e-05,-4.0124e-05,1
2,3,0.00179861,-0.000594652,8.33054e-05,0.999999,-0.00154735,-0.000153177,0.00154771,0.999996,0.00237264,0.000149505,-0.00237287,0.999997
3,4,0.001585,-0.00437396,7.14683e-06,0.999997,-0.00180714,-0.00176879,0.00181051,0.999997,0.00190253,0.00176534,-0.00190573,0.999997
4,5,0.00993556,0.00321028,0.000186019,0.999994,-0.000249468,-0.00357959,0.000247655,1,-0.000506757,0.00357972,0.000505868,0.999993
5,6,-0.000426163,0.000506547,0.000184008,1,-0.000737258,0.00056066,0.000736652,0.999999,0.00108058,-0.000561456,-0.00108016,0.999999
6,7,-0.000532407,-0.00504362,-0.00147759,1,-0.000285368,-0.000572024,0.000286075,0.999999,0.00123708,0.000571671,-0.00123724,0.999999
7,8,0.00140549,0.00308535,0.00156577,0.999999,-0.000140806,-0.00138436,0.000137769,0.999998,-0.00219395,0.00138467,0.00219376,0.999997
8,9,-1.9681e-05,0.000758176,-0.000975303,1,-0.000483036,0.000760612,0.000482379,1,0.000864124,-0.000761029,-0.000863756,0.999999
9,10,0.000686497,0.00466008,0.00229714,1,0.000167283,0.000565462,-0.000165935,0.999997,-0.00238274,-0.000565859,0.00238265,0.999997
10,11,-0.000348843,-0.00133983,0.000251304,0.999999,0.000249113,-0.00115102,-0.000247553,0.999999,0.0013553,0.00115136,-0.00135502,0.999998
11,12,-0.00507875,-0.00320308,-0.000427356,0.999999,0.00131572,0.00106622,-0.00131807,0.999997,0.00220418,-0.00106332,-0.00220559,0.999997
12,13,0.00612317,-0.000470363,-0.000186908,0.999996,0.00115036,-0.00266103,-0.00115234,0.999999,-0.000742433,0.00266017,0.000745497,0.999996
13,14,0.0024294,0.00316806,-0.000229964,0.999994,0.00352637,-2.83935e-05,-0.00352641,0.999992,-0.00179639,2.20586e-05,0.00179648,0.999998
14,15,0.00194071,0.000902237,0.000355085,0.999997,0.00249791,0.000361784,-0.00249836,0.999996,0.00124422,-0.000358675,-0.00124512,0.999999
15,16,0.000508914,-0.00327998,0.00186024,0.999993,0.00334283,0.00148567,-0.00334498,0.999993,0.00144232,-0.00148084,-0.00144728,0.999998
16,17,-0.00242647,0.00467534,0.00128306,0.999997,0.00184404,0.0018331,-0.00184024,0.999996,-0.00206779,-0.0018369,0.00206441,0.999996
17,18,-7.18737e-05,2.46484e-05,0.000950617,0.999997,-2.22595e-05,-0.00224505,2.46829e-05,0.999999,0.00107945,0.00224502,-0.00107951,0.999997
18,19,0.00415508,0.00108374,0.000742602,0.999997,-0.00070237,-0.00226077,0.000702973,1,0.000265787,0.00226059,-0.000267376,0.999997
19,20,0.00225664,0.000857498,0.000217984,0.999997,0.00250463,0.000390076,-0.00250447,0.999997,-0.000390689,-0.000391053,0.000389711,1
20,21,0.00564406,0.000886473,0.00188872,0.999998,0.00193648,-0.000380911,-0.00193611,0.999998,0.000981093,0.00038281,-0.000980354,0.999999
21,22,-0.00405146,-0.00167216,0.0046087,0.999993,0.00201581,0.00307267,-0.00201744,0.999998,0.000526743,-0.0030716,-0.000532938,0.999995
22,23,0.00447351,-0.00291622,0.000291381,0.999999,0.000773351,-0.000909319,-0.000773192,1,0.000174744,0.000909454,-0.000174041,1
23,24,0.005498,-0.00113551,0.00172857,0.999999,-0.000430336,-0.00144524,0.000432056,0.999999,0.00119047,0.00144473,-0.0011911,0.999998
24,25,0.00663566,0.00152407,0.00466243,0.999997,-0.000375738,-0.00230988,0.000372269,0.999999,-0.00150205,0.00231044,0.00150119,0.999996
25,26,-0.000176513,-0.00192746,-0.000729559,1,-0.000332369,-0.00079286,0.000333701,0.999999,0.00168076,0.0007923,-0.00168103,0.999998
26,27,0.0108009,-0.00466134,0.0036922,0.999992,0.000835737,-0.00387063,-0.000820567,0.999992,0.00391926,0.00387387,-0.00391606,0.999985
27,28,0.000150518,-0.00104766,0.00197928,1,-7.56624e-06,0.000645313,9.10478e-06,0.999997,-0.00238421,-0.000645294,0.00238421,0.999997
28,29,0.0137773,0.00949846,-0.000402275,0.999986,-0.00184164,-0.0050157,0.00182194,0.999991,-0.0039295,0.00502289,0.0039203,0.99998
29,30,0.0054028,-0.00750512,0.00287902,0.999998,0.00155592,-0.00134844,-0.00155326,0.999997,0.00197332,0.00135151,-0.00197122,0.999997
30,31,0.00759094,-0.00137632,-5.3309e-05,0.999999,0.000170009,-0.00104504,-0.000172349,0.999997,-0.00223956,0.00104466,0.00223974,0.999997
31,32,0.000392121,0.000638976,0.00332782,0.999999,-0.00048266,0.00110188,0.000485985,0.999995,-0.00301905,-0.00110042,0.00301958,0.999995
