frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00249268,0.00849579,-0.00473412,0.999996,-0.00247665,-0.00115957,0.00246416,0.99994,-0.0106453,0.00118586,0.0106424,0.999943
1,2,0.105347,0.0770105,-0.0215198,0.998443,-0.0124769,-0.0543732,0.0103266,0.99916,-0.03965,0.0548223,0.0390267,0.997733
2,3,-0.00988428,0.0212699,0.0267693,0.999903,0.0101301,0.0095172,-0.0100725,0.999931,-0.00608248,-0.00957816,0.00598603,0.999936
3,4,0.0172687,0.0134254,0.00486741,0.999982,-0.00170459,-0.00571248,0.00165345,0.999959,-0.00894565,0.0057275,0.00893605,0.999944
4,5,-0.0438007,-0.0139826,-0.0121858,0.999765,0.00646454,0.020708,-0.00662783,0.999947,0.00782635,-0.0206563,-0.00796175,0.999755
5,6,-0.0139458,0.0164709,0.0197651,0.999952,0.00203357,0.00961313,-0.00200038,0.999992,-0.00346066,-0.00962009,0.00344126,0.999948
6,7,-0.0577927,0.0105319,0.0102495,0.99952,0.00927665,0.0295658,-0.00920507,0.999954,-0.00255624,-0.0295882,0.00228286,0.99956
7,8,0.020946,0.0408687,0.0174096,0.999955,0.0027483,-0.00905133,-0.00291923,0.999817,-0.0189263,0.00899766,0.0189519,0.99978
8,9,0.0246939,-0.0132295,0.0005341,0.99994,-0.00409337,-0.0101127,0.00411046,0.99999,0.00167055,0.0101058,-0.00171201,0.999947
9,10,0.022271,-0.0103191,-0.022219,0.999824,-0.0145852,-0.0117725,0.0145741,0.999893,-0.0010256,0.0117862,0.000853841,0.99993
10,11,0.0229094,-0.00871894,0.000475716,0.999908,-0.00342337,-0.0131316,0.00349043,0.999981,0.00508745,0.0131139,-0.00513281,0.999901
11,12,0.0143865,-0.0540397,-0.0159303,0.999795,-0.0136727,-0.0149238,0.0139508,0.999728,0.0186905,0.0146642,-0.0188949,0.999714
12,13,0.0113724,0.0317795,-0.00483842,0.999942,0.00618367,-0.00882749,-0.00632791,0.999845,-0.0164074,0.00872467,0.0164623,0.999826
13,14,0.107277,-0.00116531,-0.02629,0.998036,-0.0300019,-0.0549823,0.0296013,0.999529,-0.00808713,0.055199,0.00644371,0.998455
14,15,0.00771766,0.0127959,0.0115914,0.999963,-0.00471376,-0.00714879,0.00462834,0.999918,-0.0119182,0.00720438,0.0118847,0.999903
15,16,-0.0140631,0.0209165,-0.0110858,0.999991,0.00382216,0.00155438,-0.00380176,0.999909,-0.0129244,-0.00160364,0.0129184,0.999915
16,17,0.0178052,-0.0143265,0.00823975,0.999938,-0.00591986,-0.00947007,0.00598482,0.999959,0.00684571,0.00942915,-0.00690196,0.999932
17,18,-0.0656792,0.0229429,0.0439842,0.999034,0.0198134,0.039212,-0.019505,0.999776,-0.00823294,-0.0393664,0.00746016,0.999197
18,19,-0.0849753,0.0755401,0.039664,0.998643,0.0285871,0.0435337,-0.027131,0.999064,-0.033678,-0.0444558,0.0324512,0.998484
19,20,-0.0126312,0.00337302,0.0100327,0.999972,0.00709659,0.00257519,-0.00708687,0.999968,-0.0037657,-0.00260183,0.00374735,0.99999
20,21,-0.0298853,-0.0310581,-0.0124043,0.999969,0.00133045,0.00770655,-0.00141007,0.999946,0.0103346,-0.00769238,-0.0103451,0.999917
21,22,0.045269,-0.00435137,-0.0139237,0.999603,-0.00683735,-0.0273162,0.00677518,0.999974,-0.00236814,0.0273317,0.00218213,0.999624
22,23,0.0384082,-0.0622855,-0.0359383,0.999602,-0.0149527,-0.0239068,0.0155237,0.999594,0.0238792,0.02354,-0.0242409,0.999429
23,24,-0.100993,-0.0433412,0.00214542,0.998649,0.0184271,0.0485781,-0.0195248,0.999562,0.02222,-0.0481474,-0.0231385,0.998572
24,25,0.0458672,0.00524729,-0.0605484,0.999399,-0.0137623,-0.0318293,0.0136403,0.999899,-0.00404867,0.0318818,0.00361207,0.999485
25,26,0.0312061,0.00349365,-0.00179707,0.999942,-0.00195039,-0.0106105,0.00193605,0.999997,-0.00136213,0.0106131,0.00134151,0.999943
