frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00595467,-0.00598344,0.00230858,0.999993,-0.00286919,0.00231691,0.00285545,0.999978,0.0059136,-0.00233383,-0.00590695,0.99998
1,2,0.000953863,-0.0182475,0.00495934,0.999974,-0.00441681,0.00577166,0.00440292,0.999987,0.00241572,-0.00578226,-0.00239024,0.99998
2,3,-0.00379736,0.0187932,-0.00648598,0.999977,-0.00426353,0.00529034,0.00432145,0.99993,-0.0109853,-0.00524314,0.0110079,0.999926
3,4,-0.00580763,0.00810265,0.00330735,0.999993,-0.00229733,0.00305551,0.00229701,0.999997,0.000107829,-0.00305575,-0.00010081,0.999995
4,5,0.0022487,-0.0148989,0.000657141,0.999988,-0.00494819,-0.00066385,0.00495121,0.999977,0.00463396,0.000640905,-0.00463719,0.999989
5,6,0.0162833,-0.000432891,-0.00531622,0.999977,-0.00658584,-0.00163297,0.00658056,0.999973,-0.00321767,0.00165412,0.00320685,0.999993
6,7,-0.00711781,0.00569629,0.00178606,0.999952,-0.00408445,0.00892973,0.0041208,0.999983,-0.00405653,-0.00891301,0.00409313,0.999952
7,8,-0.00763017,0.00223245,-0.000999354,0.999991,-0.00258397,0.00344072,0.00258955,0.999995,-0.00161632,-0.00343652,0.00162521,0.999993
8,9,0.00829052,0.00110168,0.000766981,0.999999,4.99558e-05,-0.00118944,-4.93933e-05,1,0.00047298,0.00118947,-0.000472921,0.999999
9,10,-0.00229805,-0.0107855,0.00328675,0.999986,-0.00237897,0.00475996,0.00237214,0.999996,0.00144093,-0.00476337,-0.00142962,0.999988
10,11,0.00528335,0.0133306,-0.0072394,0.999986,-0.0052289,0.00125217,0.00523819,0.999958,-0.0075328,-0.00121273,0.00753925,0.999971
11,12,-0.00242933,0.00857329,0.00309237,0.99999,-0.00282217,0.00354176,0.002822,0.999996,5.3479e-05,-0.00354189,-4.34836e-05,0.999994
12,13,-0.00772788,-0.018213,0.00693807,0.999995,-0.000174372,0.00316776,0.000158193,0.999987,0.00510693,-0.00316861,-0.0051064,0.999982
13,14,0.0211591,0.0131953,-0.0114234,0.999968,-0.00516314,-0.00613788,0.00510402,0.999941,-0.00961029,0.00618714,0.00957865,0.999935
14,15,-0.00152457,0.0150304,0.0023658,0.999994,0.000856187,0.00339198,-0.000849642,0.999998,-0.00193064,-0.00339362,0.00192775,0.999992
