frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00384466,-0.00602384,0.00347219,0.999999,-0.000115709,-0.00151276,0.000115503,1,-0.000136279,0.00151277,0.000136104,0.999999
1,2,-0.00123435,-0.00478949,-0.00410307,0.999999,-0.00056837,-0.000948101,0.000567842,1,-0.000557654,0.000948417,0.000557115,0.999999
2,3,-0.00550527,-0.00418063,0.00110917,1,-0.000738883,0.000366272,0.000739101,1,-0.000594355,-0.000365832,0.000594625,1
3,4,-0.0049867,0.00357601,0.0043878,1,0.000379822,0.000709959,-0.000377039,0.999992,-0.00391648,-0.000711441,0.00391621,0.999992
4,5,-0.00516097,0.00415906,0.00409205,0.999997,-0.000249217,0.00252076,0.000258202,0.999994,-0.0035648,-0.00251985,0.00356544,0.99999
5,6,0.00808843,-0.00716065,-0.000830041,0.999975,-0.00494926,-0.00504975,0.00495636,0.999987,0.00139505,0.00504278,-0.00142005,0.999986
6,7,0.00532097,0.0117474,0.0018134,0.999954,-0.00676046,-0.00686342,0.00672529,0.999964,-0.00513464,0.00689789,0.00508825,0.999963
7,8,0.0093658,0.00190366,0.00320797,0.999948,0.003222,-0.00963539,-0.00319269,0.99999,0.00305549,0.00964514,-0.00302457,0.999949
8,9,-0.00719742,-0.00089087,0.00361751,0.99997,0.00770349,6.4269e-05,-0.00770362,0.999967,0.00240433,-4.57452e-05,-0.00240475,0.999997
9,10,-0.00949534,-0.000490262,-0.00384907,1,0.0008328,0.000426214,-0.000832309,0.999999,-0.00115126,-0.000427172,0.0011509,0.999999
10,11,0.00456257,-0.00585307,-0.00111769,0.99995,-0.00471245,-0.00886349,0.0047287,0.999987,0.00181333,0.00885483,-0.00185515,0.999959
11,12,-0.0298453,0.0229827,0.00551345,0.999913,0.00213876,0.0130428,-0.00200874,0.999948,-0.00997385,-0.0130634,0.00994678,0.999865
12,13,-0.0170607,0.00794258,0.00361313,0.999907,0.000171948,0.013634,-0.000132711,0.999996,-0.0028788,-0.0136344,0.00287672,0.999903
13,14,0.0448797,-0.020836,-0.0108505,0.999744,-0.00598898,-0.0218289,0.00615638,0.999952,0.00760997,0.0217823,-0.0077424,0.999733
14,15,0.00454873,0.0142093,0.0012235,0.999985,-0.00291205,-0.00462995,0.00288436,0.999978,-0.00597564,0.00464725,0.0059622,0.999971
15,16,-7.25813e-05,-0.00397211,0.00460528,0.999994,0.00259992,0.00247679,-0.00260896,0.99999,0.00365406,-0.00246726,-0.0036605,0.99999
16,17,0.0065738,-0.00945138,-0.00175802,0.999994,0.0030761,-0.00172131,-0.00307023,0.99999,0.0034016,0.00173175,-0.00339629,0.999993
17,18,-0.00301501,0.0117837,0.00155436,1,-0.000546359,0.000187431,0.000546917,0.999995,-0.0029924,-0.000185795,0.0029925,0.999996
18,19,0.0107704,-0.00612068,0.00517163,0.999991,0.00161279,-0.00384511,-0.00159543,0.999989,0.00451144,0.00385234,-0.00450526,0.999982
19,20,0.018496,0.0018996,0.00177933,0.999961,0.00312276,-0.0082034,-0.00313035,0.999995,-0.000911745,0.00820051,0.00093739,0.999966
20,21,-0.000107588,-0.00227663,0.000607704,0.999992,0.00395814,0.000196396,-0.00395883,0.999985,0.00367569,-0.000181844,-0.00367643,0.999993
21,22,0.0120713,-0.00558411,1.44837e-05,0.999979,0.00373116,-0.00535753,-0.00371637,0.999989,0.00276768,0.0053678,-0.00274771,0.999982
22,23,0.00630977,-0.00401028,0.000657641,0.999989,0.00242229,-0.00410389,-0.0024239,0.999997,-0.000385651,0.00410295,0.000395594,0.999992
23,24,-0.00603962,0.00441998,0.000468407,0.999977,0.00577372,0.00358302,-0.00576047,0.999977,-0.00369818,-0.00360429,0.00367745,0.999987
24,25,0.00549745,0.00124016,-0.00284457,0.999993,0.00369201,-0.000731429,-0.003694,0.999989,-0.00273356,0.000721329,0.00273624,0.999996
25,26,0.0140197,-0.00743577,0.000816343,0.999971,0.000801878,-0.00762914,-0.000778679,0.999995,0.00304335,0.00763154,-0.00303732,0.999966
26,27,-0.0256346,0.0169749,0.00498394,0.999869,0.00392379,0.0156783,-0.00379036,0.999956,-0.00853132,-0.0157111,0.00847078,0.999841
27,28,0.01692,-0.00311283,-0.00262103,0.999992,-0.00129419,-0.00390516,0.0013036,0.999996,0.0024073,0.00390203,-0.00241237,0.999989
28,29,0.0278515,-0.0109142,-0.000197221,0.999884,-0.00068201,-0.0152025,0.000779764,0.999979,0.00642514,0.0151978,-0.00643625,0.999864
29,30,-0.000472366,0.0014998,0.00423798,0.999983,0.00583534,-1.95888e-05,-0.00583536,0.999982,-0.00151474,1.07495e-05,0.00151483,0.999999
30,31,0.0290525,-0.0126726,-0.000408518,0.999901,0.00334829,-0.0136395,-0.00328274,0.999983,0.0048253,0.0136554,-0.00478005,0.999895
31,32,0.0390065,-0.0229551,-0.00103717,0.999743,0.00346975,-0.0223969,-0.00325876,0.99995,0.00945018,0.0224286,-0.00937476,0.999704
32,33,-0.0055174,0.00391093,0.00229459,0.999966,0.00821823,-0.00113051,-0.00822215,0.99996,-0.00351108,0.00110161,0.00352026,0.999993
33,34,-0.038415,0.0255929,0.00728904,0.99975,0.00711741,0.0211989,-0.00689661,0.999921,-0.0104704,-0.0212718,0.0103216,0.99972
34,35,0.0192905,-0.0131894,-0.00629959,0.999976,0.00313026,-0.00622704,-0.00310563,0.999987,0.00395994,0.00623936,-0.0039405,0.999973
35,36,0.0169799,-0.00428278,-0.00287322,0.999947,0.00263564,-0.00992048,-0.00264618,0.999996,-0.001049,0.00991767,0.0010752,0.99995
36,37,-0.0311366,0.0161239,-0.0114194,0.99985,0.0074041,0.0156435,-0.00726538,0.999934,-0.00890593,-0.0157084,0.00879094,0.999838
37,38,0.00531026,-0.00742942,-0.00856916,0.999958,0.000966705,0.00907458,-0.000995412,0.999995,0.00315947,-0.00907148,-0.00316837,0.999954
38,39,-0.0154165,-0.0193864,-0.0504969,0.999701,-0.024427,0.00117026,0.0244269,0.999702,0.000158494,-0.00117378,-0.000129861,0.999999
