frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00629828,-0.00149164,0.000220326,0.999977,-0.00575876,-0.00354292,0.00575856,0.999983,-6.41561e-05,0.00354323,4.37525e-05,0.999994
1,2,0.00568418,0.00250625,-0.000342138,0.999968,-0.00499012,-0.00630646,0.00498737,0.999987,-0.000451809,0.00630863,0.000420342,0.99998
2,3,-0.00797845,0.000935816,0.000271488,0.999964,-0.00426773,0.00738265,0.00426861,0.999991,-0.000102254,-0.00738215,0.000133764,0.999973
3,4,0.00742306,0.000445423,-0.000487333,0.999994,-0.0012083,-0.00326413,0.0012042,0.999998,-0.0012576,0.00326565,0.00125366,0.999994
4,5,-0.000924883,-0.0013842,0.000941493,1,-0.000395341,-0.000424047,0.000396253,0.999998,0.00215257,0.000423195,-0.00215274,0.999998
5,6,0.00509895,-2.7888e-06,0.000177535,0.999982,0.00299705,-0.00512466,-0.00299786,0.999995,-0.000150312,0.00512419,0.000165673,0.999987
6,7,-0.00319938,0.00373641,0.000580534,0.999979,0.00199935,0.00615358,-0.00198534,0.999995,-0.00228257,-0.00615811,0.00227031,0.999978
7,8,0.00444614,0.00114341,0.00183589,0.999999,-0.000607088,0.00128278,0.000606783,1,0.00023787,-0.00128292,-0.000237092,0.999999
8,9,0.0099652,0.000201521,0.000474997,0.999967,-0.00366154,-0.00721499,0.0036732,0.999992,0.00160383,0.00720906,-0.00163028,0.999973
9,10,0.0161065,0.00359311,-0.000898648,0.999924,-0.000149465,-0.0122957,0.000143637,1,-0.000474907,0.0122958,0.000473105,0.999924
10,11,0.0055001,0.00821868,0.00118939,0.999997,0.00103726,-0.00207236,-0.00104331,0.999995,-0.00291705,0.00206932,0.0029192,0.999994
11,12,0.00537942,-0.00108687,0.00182958,0.999992,-0.000260118,-0.00407996,0.000267986,0.999998,0.00192799,0.00407946,-0.00192906,0.99999
12,13,0.0198146,0.000585123,-0.00097386,0.999758,-0.000187275,-0.0219954,0.000141497,0.999998,-0.00208278,0.0219957,0.00207917,0.999756
13,14,-0.00350236,0.0141189,0.00280228,0.999986,0.00530468,-0.000336843,-0.00530716,0.999955,-0.00783765,0.000295251,0.00783932,0.999969
14,15,-0.00806885,0.00311347,0.000927043,0.999911,0.00268223,0.0130674,-0.00268393,0.999996,0.000112511,-0.0130671,-0.000147573,0.999915
15,16,-0.00165185,-0.00307169,0.00415971,0.99996,0.00183963,0.008731,-0.00185688,0.999996,0.00196821,-0.00872735,-0.00198435,0.99996
16,17,0.0099399,-0.00109128,0.00112601,0.999989,0.00247329,-0.00408144,-0.00248457,0.999993,-0.00276132,0.00407458,0.00277143,0.999988
17,18,0.00670843,-4.53446e-05,0.00128186,0.999994,-0.00062251,-0.00337038,0.000620132,1,-0.000706436,0.00337082,0.000704342,0.999994
18,19,0.006194,-0.00111599,-0.00124623,0.999998,0.00216049,-0.000491183,-0.00216106,0.999997,-0.00116247,0.00048867,0.00116353,0.999999
19,20,0.00343997,0.00199353,0.00178137,0.999992,0.000611552,0.00384955,-0.000601531,0.999996,-0.00260398,-0.00385113,0.00260164,0.999989
20,21,0.00475293,-0.00349687,0.00373057,1,0.000502258,0.000616061,-0.000503608,0.999997,0.00219386,-0.000614957,-0.00219417,0.999997
