frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00390854,0.00337205,0.00184235,0.999989,0.00384518,-0.00275703,-0.00385515,0.999986,-0.00362172,0.00274306,0.00363231,0.99999
1,2,-0.000428928,-0.00503752,-0.00119774,0.999984,0.00540743,-0.00136494,-0.00540566,0.999985,0.00129943,0.00137195,-0.00129203,0.999998
2,3,0.000606028,0.00407772,0.000414678,0.999994,0.00250089,-0.0025619,-0.00251242,0.999987,-0.00450728,0.0025506,0.00451369,0.999987
3,4,0.00213138,-0.00648493,0.0023615,0.999984,-0.00491224,0.00290507,0.00490222,0.999982,0.00344784,-0.00292195,-0.00343354,0.99999
4,5,0.0032512,0.00211958,0.00123602,0.999994,0.00140057,-0.00326909,-0.00141262,0.999992,-0.00368569,0.0032639,0.00369029,0.999988
5,6,-0.00270219,0.00148048,-0.00402719,0.999988,0.00457276,0.0017618,-0.00457011,0.999988,-0.00150286,-0.00176865,0.00149479,0.999997
6,7,-0.00374701,-0.00203,0.00211167,0.999995,-0.000881995,0.00296714,0.000882223,1,-7.56429e-05,-0.00296707,7.82602e-05,0.999996
7,8,7.23933e-05,0.00292988,-0.00445693,0.999991,-0.00401035,0.00115259,0.00401339,0.999988,-0.00264968,-0.00114195,0.00265429,0.999996
8,9,0.00128981,0.000665382,-9.6943e-06,0.999998,0.000140761,0.00192992,-0.000141929,1,0.000604876,-0.00192983,-0.000605149,0.999998
9,10,0.00187501,-0.0032386,0.00316505,1,-0.00047656,-0.000293335,0.000476157,0.999999,-0.00137149,0.000293988,0.00137135,0.999999
10,11,0.000909647,0.00284811,0.000992797,0.999998,0.00183247,-0.00112119,-0.00184098,0.999969,-0.00764098,0.00110715,0.00764302,0.99997
11,12,-0.00594171,0.0054248,-0.00822338,0.999985,-0.000226962,0.00539191,0.000250836,0.99999,-0.00442759,-0.00539085,0.00442888,0.999976
12,13,-3.25229e-05,-0.00484384,0.00239362,0.999981,-0.00593235,0.00168637,0.00592603,0.999975,0.00372838,-0.00170845,-0.00371831,0.999992
