frame1, frame2, tx, ty, tz, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,1,0.00466522,-0.000702155,0.000155098,0.999988,0.00135592,-0.00462855,-0.00133514,0.999989,0.0044903,0.00463459,-0.00448406,0.999979
1,2,0.00385669,-0.00606497,0.00501795,0.999995,0.00311039,-0.000327734,-0.00310958,0.999992,0.00244451,0.000335335,-0.00244348,0.999997
2,3,-0.00406366,0.000680185,-0.0035915,0.999986,-0.00387834,0.00357687,0.00389612,0.99998,-0.00497485,-0.00355751,0.00498872,0.999981
3,4,0.000696893,0.00452391,-0.00251752,0.999995,0.000279245,-0.00299471,-0.000275006,0.999999,0.00141578,0.0029951,-0.00141495,0.999995
4,5,0.00587327,-0.00856471,0.0063071,0.999991,0.00227081,-0.00367412,-0.00223918,0.999961,0.00858973,0.00369348,-0.00858142,0.999956
5,6,-0.00414429,0.00035064,0.000551461,0.99999,-0.00216713,0.00401239,0.00219561,0.999972,-0.00710766,-0.00399688,0.0071164,0.999967
6,7,-0.00514555,0.00968375,-0.00617342,0.999994,-0.00285914,0.00177314,0.00287302,0.999965,-0.00787408,-0.00175057,0.00787913,0.999967
7,8,0.000884014,0.000587184,5.21207e-05,0.999999,0.000791892,-0.00136393,-0.000786195,0.999991,0.00417212,0.00136722,-0.00417104,0.99999
8,9,0.00293251,-0.00917773,0.00378433,0.999999,-1.24943e-05,-0.00133885,1.79961e-05,0.999992,0.00410936,0.00133879,-0.00410938,0.999991
9,10,-0.00155812,0.00144886,-0.000527718,0.999996,-0.00273799,-0.000152704,0.00273665,0.999962,-0.00821841,0.0001752,0.00821796,0.999966
10,11,-0.0012409,0.00466149,-0.00404713,0.999998,0.00162496,-0.00111628,-0.00162876,0.999993,-0.00341345,0.00111073,0.00341526,0.999994
11,12,0.00187991,-0.00350057,0.0017991,0.999994,0.00313746,-0.0015443,-0.00313079,0.999986,0.00430012,0.00155777,-0.00429526,0.99999
12,13,-0.00204409,-0.00265853,0.000686238,0.999997,-0.0018769,0.00165666,0.00187835,0.999998,-0.000879806,-0.001655,0.000882915,0.999998
13,14,-0.00113477,0.00602389,-0.00257731,1,-0.000556809,0.000189099,0.0005578,0.999986,-0.0052837,-0.000186154,0.00528381,0.999986
14,15,0.000758392,-0.000649628,-0.000187967,1,5.86804e-05,5.12741e-05,-5.88451e-05,0.999995,0.00321866,-5.10849e-05,-0.00321867,0.999995
15,16,-0.000271488,-0.0021488,0.00050429,1,2.02297e-05,-0.000485967,-1.97058e-05,0.999999,0.00107807,0.000485989,-0.00107806,0.999999
16,17,-0.00152106,0.00533871,-0.00240037,1,0.000151845,-0.000773814,-0.000155538,0.999989,-0.00477497,0.00077308,0.00477509,0.999988
17,18,0.00124449,-0.00136307,-0.000398982,0.999996,0.00225597,-0.0014467,-0.00225226,0.999994,0.00256043,0.00145246,-0.00255716,0.999996
18,19,-0.00220868,0.000140839,0.00178313,0.999999,0.000876405,0.00122892,-0.000875331,0.999999,-0.000874193,-0.00122968,0.000873117,0.999999
19,20,-0.000949677,0.000844708,-0.000611191,1,-0.000489707,-8.06159e-05,0.000489572,0.999998,-0.00167002,8.14336e-05,0.00166998,0.999999
20,21,0.00304155,-0.00102263,0.00028082,0.999997,2.49659e-05,-0.00239078,-2.13874e-05,0.999999,0.00149679,0.00239081,-0.00149674,0.999996
21,22,-0.000139802,-0.00314985,0.00083051,1,0.000394206,0.000883312,-0.000394346,1,0.000158146,-0.000883249,-0.000158495,1
22,23,-0.00383078,0.000542599,-0.000979381,0.999999,-0.00034905,0.00118962,0.000353034,0.999994,-0.00335097,-0.00118844,0.00335139,0.999994
23,24,-0.00068714,0.00273135,-0.000566574,1,-0.000136409,-0.000552137,0.000134904,0.999996,-0.00272481,0.000552507,0.00272473,0.999996
24,25,0.00126964,-0.000715883,0.000622483,0.999999,-0.000161479,0.00149962,0.000159194,0.999999,0.001524,-0.00149986,-0.00152375,0.999998
25,26,-0.002114,-0.00179387,0.000395101,0.99999,-0.00267706,0.00353795,0.0026761,0.999996,0.000277423,-0.00353868,-0.000267952,0.999994
26,27,0.00245923,0.000393371,-0.00145196,0.999995,-0.00150533,-0.00291661,0.00150579,0.999999,0.000157253,0.00291637,-0.000161644,0.999996
27,28,0.00247856,-0.00199797,0.000933087,0.999994,0.00272127,-0.0022718,-0.00271617,0.999994,0.00224611,0.0022779,-0.00223993,0.999995
28,29,-0.000214507,-0.0018894,-2.77223e-05,0.999999,0.00046758,0.000890811,-0.000466673,0.999999,-0.00101834,-0.000891286,0.00101792,0.999999
29,30,-0.00102211,0.00243167,-0.00291826,1,-0.000663395,-0.000623105,0.000661739,0.999996,-0.00265428,0.000624864,0.00265387,0.999996
30,31,0.000603902,0.000125787,-0.000270444,1,-0.00016022,0.000279636,0.000159958,1,0.000937605,-0.000279786,-0.000937561,1
31,32,0.000554046,-0.00451426,0.00159099,0.999998,-0.00196341,-0.00075356,0.00196631,0.999991,0.00387305,0.000745948,-0.00387452,0.999992
32,33,0.00271189,-0.000448395,0.000813719,0.999994,0.000340363,-0.00340374,-0.000342893,1,-0.000742651,0.00340349,0.000743813,0.999994
33,34,-0.00054458,0.00171006,0.000958197,0.999997,0.00199316,0.00158019,-0.00198767,0.999992,-0.0034678,-0.00158709,0.00346465,0.999993
34,35,-0.00295043,0.00079022,-0.0008703,0.999992,-0.00287904,0.00262696,0.00288355,0.999994,-0.00171468,-0.002622,0.00172224,0.999995
35,36,0.00421612,-0.000424081,0.00237185,0.999992,0.00121482,-0.00375736,-0.00121706,0.999999,-0.000593234,0.00375664,0.000597802,0.999993
36,37,-0.00335285,0.00284626,-0.00028033,0.999996,-0.000466223,0.00288986,0.000479376,0.99999,-0.00455233,-0.0028877,0.00455369,0.999985
37,38,-0.00206946,0.00430048,-0.00184297,0.999999,0.0001022,-0.00115305,-0.000104405,0.999998,-0.00191201,0.00115285,0.00191213,0.999998
38,39,0.00519135,-0.00382484,0.0034841,0.999988,0.0022749,-0.00435311,-0.00225943,0.999991,0.0035546,0.00436116,-0.00354472,0.999984
39,40,-0.00291968,-0.000228185,0.000866157,0.999993,0.00100483,0.00349099,-0.000991618,0.999992,-0.00378473,-0.00349477,0.00378124,0.999987
40,41,-0.00660434,0.00528862,-0.00525554,0.999995,-0.00204595,0.00251745,0.00205259,0.999994,-0.0026383,-0.00251204,0.00264346,0.999993
41,42,0.00495526,-0.00446253,0.00194371,0.999983,-8.4144e-05,-0.00578835,0.000128549,0.999971,0.00767143,0.00578753,-0.00767205,0.999954
42,43,0.00337399,-0.00547946,0.00382798,0.999996,0.00213016,-0.00157104,-0.00212683,0.999995,0.0021176,0.00157555,-0.00211425,0.999997
43,44,-0.00329494,0.00401105,-0.00250078,0.999998,-0.000576533,0.00180822,0.000589783,0.999973,-0.00733558,-0.00180394,0.00733663,0.999971
44,45,-0.00164479,0.00588703,-0.00415114,1,0.000249903,-0.00062562,-0.000250869,0.999999,-0.00154468,0.000625233,0.00154484,0.999999
45,46,0.00147857,-0.00623716,0.00344257,0.999998,0.00180445,-0.000792654,-0.00179697,0.999955,0.00933056,0.000809455,-0.00932911,0.999956
46,47,-0.000291016,-0.00660859,0.00304354,0.999998,-0.00181655,0.00019353,0.00181608,0.999995,0.00239307,-0.000197876,-0.00239271,0.999997
47,48,-0.00248864,0.00749394,-0.00368881,1,0.000774111,-0.00034929,-0.000776477,0.999976,-0.00682563,0.000343998,0.0068259,0.999977
48,49,0.00122049,-0.0037147,1.9611e-06,0.999996,0.00222304,-0.00159923,-0.00221551,0.999987,0.00469337,0.00160965,-0.00468981,0.999988
49,50,2.29367e-05,-0.00614751,0.00161877,0.999999,-0.0012479,-0.000551333,0.00124974,0.999994,0.00336152,0.000547134,-0.00336221,0.999994
